2026-03-27 21:19:54,473 | INFO     | robonet              | === Robonet Logging Initialized (DEBUG/verbose) ===
2026-03-27 21:19:54,474 | INFO     | root                 | Settings file not found at /home/simleek/.robobrain/settings.json — using defaults
2026-03-27 21:21:35,073 | INFO     | robonet              | === Robonet Logging Initialized (DEBUG/verbose) ===
2026-03-27 21:21:35,074 | INFO     | root                 | Settings file not found at /home/simleek/.robobrain/settings.json — using defaults
2026-03-27 21:22:17,049 | INFO     | robonet              | === Robonet Logging Initialized (DEBUG/verbose) ===
2026-03-27 21:22:17,050 | INFO     | root                 | Settings file not found at /home/simleek/.robobrain/settings.json — using defaults
2026-03-27 21:22:43,131 | INFO     | robonet              | === Robonet Logging Initialized (DEBUG/verbose) ===
2026-03-27 21:22:43,131 | INFO     | root                 | Settings file not found at /home/simleek/.robobrain/settings.json — using defaults
2026-03-27 21:23:51,117 | INFO     | robonet              | === Robonet Logging Initialized (DEBUG/verbose) ===
2026-03-27 21:23:51,124 | INFO     | root                 | Settings file not found at /home/simleek/.robobrain/settings.json — using defaults
2026-03-27 21:25:16,552 | INFO     | robonet              | === Robonet Logging Initialized (DEBUG/verbose) ===
2026-03-27 21:25:16,554 | INFO     | root                 | Settings file not found at /home/simleek/.robobrain/settings.json — using defaults
2026-03-27 21:25:31,165 | INFO     | root                 | starting scanner
2026-03-27 21:25:31,166 | INFO     | root                 | stopping scanner
2026-03-27 21:25:31,907 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:32,908 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:33,911 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:34,913 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:35,919 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:36,921 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:37,922 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:38,930 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:39,689 | INFO     | root                 | endpoint found: Endpoint(ip='192.168.0.103', hostname='beepi2', endpoint_type='unknown', last_seen=1774671939.6301177, reachable=False, axes=[], streams=[])
2026-03-27 21:25:39,690 | INFO     | root                 | [radio] probing 192.168.0.103:9998
2026-03-27 21:25:39,724 | INFO     | root                 | endpoint found: Endpoint(ip='192.168.0.18', hostname='amazon-8923aeb4c', endpoint_type='unknown', last_seen=1774671939.6301177, reachable=False, axes=[], streams=[])
2026-03-27 21:25:39,724 | INFO     | root                 | [radio] probing 192.168.0.18:9998
2026-03-27 21:25:39,932 | INFO     | root                 | burst: <class 'robonet.buffers.buffer_objects.WhoAreYou'>
2026-03-27 21:25:39,938 | INFO     | root                 | endpoint found: Endpoint(ip='192.168.0.8', hostname='W1700K-W1700K2346005462', endpoint_type='unknown', last_seen=1774671939.6301177, reachable=False, axes=[], streams=[])
2026-03-27 21:25:39,938 | INFO     | root                 | [radio] probing 192.168.0.8:9998
2026-03-27 21:25:39,972 | INFO     | root                 | endpoint found: Endpoint(ip='192.168.0.20', hostname='amazon-ef66a5394', endpoint_type='unknown', last_seen=1774671939.6301177, reachable=False, axes=[], streams=[])
2026-03-27 21:25:39,973 | INFO     | root                 | [radio] probing 192.168.0.20:9998
2026-03-27 21:25:40,012 | INFO     | root                 | endpoint found: Endpoint(ip='192.168.0.1', hostname='_gateway', endpoint_type='unknown', last_seen=1774671939.6301177, reachable=False, axes=[], streams=[])
2026-03-27 21:25:40,012 | INFO     | root                 | [radio] probing 192.168.0.1:9998
2026-03-27 21:25:40,233 | INFO     | root                 | endpoint found: Endpoint(ip='192.168.0.24', hostname='amazon-b1831323f', endpoint_type='unknown', last_seen=1774671939.6301177, reachable=False, axes=[], streams=[])
2026-03-27 21:25:40,234 | INFO     | root                 | [radio] probing 192.168.0.24:9998
2026-03-27 21:25:40,458 | INFO     | root                 | endpoint found: Endpoint(ip='192.168.0.9', hostname='Galaxy-S22', endpoint_type='unknown', last_seen=1774671939.6301177, reachable=False, axes=[], streams=[])
2026-03-27 21:25:40,459 | INFO     | root                 | [radio] probing 192.168.0.9:9998
